276.591, 130.999, 8.390,  9.650 False
276.172, 131.005, 8.387,  9.700 False
275.753, 131.010, 8.376,  9.750 False
275.335, 131.015, 8.360,  9.800 False
274.918, 131.019, 8.346,  9.850 False
274.501, 131.023, 8.336,  9.900 False
274.085, 131.025, 8.332,  9.950 False
273.668, 131.028, 8.333, 10.000 False
273.252, 131.030, 8.336, 10.050 False
272.835, 131.030, 8.341, 10.100 False
272.418, 131.030, 8.345, 10.150 False
272.000, 131.030, 8.348, 10.200 False
271.583, 131.029, 8.349, 10.250 False
271.165, 131.027, 8.349, 10.300 False
270.748, 131.025, 8.347, 10.350 False
270.331, 131.023, 8.345, 10.400 False
269.914, 131.019, 8.343, 10.450 False
269.497, 131.014, 8.341, 10.500 False
269.080, 131.009, 8.340, 10.550 False
268.663, 131.003, 8.340, 10.600 False
268.246, 130.997, 8.340, 10.650 False
267.829, 130.990, 8.341, 10.700 False
267.412, 130.983, 8.341, 10.750 False
266.995, 130.976, 8.341, 10.800 False
266.578, 130.968, 8.341, 10.850 False
266.161, 130.959, 8.340, 10.900 False
265.744, 130.950, 8.340, 10.950 False
265.327, 130.941, 8.339, 11.000 False
264.910, 130.931, 8.339, 11.050 False
264.494, 130.921, 8.339, 11.100 False
264.077, 130.911, 8.338, 11.150 False
263.660, 130.900, 8.338, 11.200 False
263.243, 130.888, 8.338, 11.250 False
262.827, 130.877, 8.338, 11.300 False
262.410, 130.865, 8.338, 11.350 False
261.993, 130.852, 8.337, 11.400 False
261.577, 130.839, 8.337, 11.450 False
261.160, 130.826, 8.337, 11.500 False
260.743, 130.812, 8.337, 11.550 False
260.327, 130.798, 8.337, 11.600 False
259.910, 130.784, 8.337, 11.650 False
259.494, 130.770, 8.337, 11.700 False
259.077, 130.755, 8.336, 11.750 False
258.660, 130.741, 8.336, 11.800 False
258.244, 130.725, 8.336, 11.850 False
257.827, 130.710, 8.336, 11.900 False
257.411, 130.695, 8.336, 11.950 False
256.994, 130.679, 8.336, 12.000 False
256.578, 130.663, 8.336, 12.050 False
256.161, 130.646, 8.336, 12.100 False
255.745, 130.630, 8.335, 12.150 False
255.329, 130.613, 8.335, 12.200 False
254.912, 130.597, 8.335, 12.250 False
254.496, 130.580, 8.335, 12.300 False
254.079, 130.562, 8.335, 12.350 False
253.663, 130.545, 8.335, 12.400 False
253.247, 130.528, 8.335, 12.450 False
252.830, 130.510, 8.335, 12.500 False
252.414, 130.492, 8.335, 12.550 False
251.998, 130.474, 8.335, 12.600 False
251.581, 130.456, 8.335, 12.650 False
251.165, 130.438, 8.335, 12.700 False
250.749, 130.420, 8.334, 12.750 False
250.332, 130.402, 8.334, 12.800 False
249.916, 130.383, 8.334, 12.850 False
249.500, 130.365, 8.334, 12.900 False
249.083, 130.346, 8.334, 12.950 False
248.667, 130.327, 8.334, 13.000 False
248.251, 130.309, 8.334, 13.050 False
247.834, 130.290, 8.334, 13.100 False
247.418, 130.271, 8.334, 13.150 False
247.002, 130.252, 8.334, 13.200 False
246.586, 130.233, 8.334, 13.250 False
246.169, 130.214, 8.334, 13.300 False
245.753, 130.195, 8.334, 13.350 False
245.337, 130.176, 8.334, 13.400 False
244.921, 130.158, 8.334, 13.450 False
244.504, 130.139, 8.334, 13.500 False
244.088, 130.120, 8.334, 13.550 False
243.672, 130.101, 8.334, 13.600 False
243.256, 130.082, 8.334, 13.650 False
242.839, 130.063, 8.334, 13.700 False
242.423, 130.045, 8.334, 13.750 False
242.007, 130.026, 8.334, 13.800 False
241.591, 130.007, 8.334, 13.850 False
241.174, 129.989, 8.334, 13.900 False
240.758, 129.970, 8.334, 13.950 False
240.342, 129.952, 8.334, 14.000 False
239.926, 129.934, 8.333, 14.050 False
239.509, 129.916, 8.333, 14.100 False
239.093, 129.897, 8.333, 14.150 False
238.677, 129.879, 8.333, 14.200 False
238.261, 129.861, 8.333, 14.250 False
237.844, 129.844, 8.333, 14.300 False
237.428, 129.826, 8.333, 14.350 False
237.012, 129.808, 8.333, 14.400 False
236.595, 129.791, 8.333, 14.450 False
236.179, 129.774, 8.333, 14.500 False
235.763, 129.757, 8.333, 14.550 False
235.346, 129.740, 8.333, 14.600 False
234.930, 129.723, 8.333, 14.650 False
234.514, 129.706, 8.333, 14.700 False
234.097, 129.689, 8.333, 14.750 False
233.681, 129.673, 8.333, 14.800 False
233.265, 129.656, 8.333, 14.850 False
232.848, 129.640, 8.333, 14.900 False
232.432, 129.624, 8.333, 14.950 False
232.016, 129.609, 8.333, 15.000 False
231.599, 129.594, 8.333, 15.050 False
231.183, 129.579, 8.333, 15.100 False
230.766, 129.564, 8.333, 15.150 False
230.350, 129.549, 8.333, 15.200 False
229.934, 129.536, 8.333, 15.250 False
229.517, 129.522, 8.333, 15.300 False
229.101, 129.508, 8.333, 15.350 False
228.684, 129.494, 8.333, 15.400 False
228.268, 129.481, 8.333, 15.450 False
227.851, 129.467, 8.333, 15.500 False
227.435, 129.454, 8.333, 15.550 False
227.019, 129.441, 8.333, 15.600 False
226.602, 129.429, 8.333, 15.650 False
226.186, 129.416, 8.333, 15.700 False
225.769, 129.404, 8.333, 15.750 False
225.353, 129.392, 8.333, 15.800 False
224.936, 129.380, 8.333, 15.850 False
224.520, 129.368, 8.333, 15.900 False
224.103, 129.357, 8.333, 15.950 False
223.687, 129.345, 8.333, 16.000 False
223.270, 129.335, 8.333, 16.050 False
222.854, 129.325, 8.333, 16.100 False
222.437, 129.314, 8.333, 16.150 False
222.020, 129.304, 8.333, 16.200 False
221.604, 129.295, 8.333, 16.250 False
221.187, 129.285, 8.333, 16.300 False
220.771, 129.275, 8.333, 16.350 False
220.354, 129.266, 8.333, 16.400 False
219.938, 129.257, 8.333, 16.450 False
219.521, 129.248, 8.333, 16.500 False
219.105, 129.240, 8.333, 16.550 False
218.688, 129.232, 8.333, 16.600 False
218.272, 129.224, 8.333, 16.650 False
217.855, 129.217, 8.333, 16.700 False
217.438, 129.209, 8.333, 16.750 False
217.022, 129.202, 8.333, 16.800 False
216.605, 129.195, 8.333, 16.850 False
216.189, 129.188, 8.333, 16.900 False
215.772, 129.181, 8.333, 16.950 False
215.355, 129.175, 8.333, 17.000 False
214.939, 129.168, 8.333, 17.050 False
214.522, 129.162, 8.333, 17.100 False
214.105, 129.156, 8.333, 17.150 False
213.689, 129.151, 8.333, 17.200 False
213.272, 129.145, 8.333, 17.250 False
212.856, 129.141, 8.333, 17.300 False
212.439, 129.136, 8.333, 17.350 False
212.022, 129.132, 8.333, 17.400 False
211.606, 129.128, 8.333, 17.450 False
211.189, 129.124, 8.333, 17.500 False
210.772, 129.120, 8.333, 17.550 False
210.356, 129.116, 8.333, 17.600 False
209.939, 129.112, 8.333, 17.650 False
209.523, 129.109, 8.333, 17.700 False
209.106, 129.106, 8.333, 17.750 False
208.689, 129.103, 8.333, 17.800 False
208.273, 129.100, 8.333, 17.850 False
207.856, 129.098, 8.333, 17.900 False
207.439, 129.095, 8.333, 17.950 False
207.023, 129.093, 8.333, 18.000 False
206.606, 129.091, 8.333, 18.050 False
206.189, 129.089, 8.333, 18.100 False
205.773, 129.087, 8.333, 18.150 False
205.356, 129.086, 8.333, 18.200 False
204.939, 129.084, 8.333, 18.250 False
204.523, 129.083, 8.333, 18.300 False
204.106, 129.082, 8.333, 18.350 False
203.689, 129.081, 8.333, 18.400 False
203.273, 129.080, 8.333, 18.450 False
202.856, 129.080, 8.333, 18.500 False
202.439, 129.079, 8.333, 18.550 False
202.023, 129.079, 8.333, 18.600 False
201.606, 129.079, 8.333, 18.650 False
201.189, 129.079, 8.333, 18.700 False
200.773, 129.079, 8.333, 18.750 False
200.356, 129.079, 8.333, 18.800 False
199.939, 129.080, 8.333, 18.850 False
199.523, 129.081, 8.333, 18.900 False
199.106, 129.083, 8.333, 18.950 False
198.689, 129.084, 8.333, 19.000 False
198.273, 129.086, 8.333, 19.050 False
197.856, 129.088, 8.333, 19.100 False
197.439, 129.090, 8.333, 19.150 False
197.023, 129.092, 8.333, 19.200 False
196.606, 129.094, 8.333, 19.250 False
196.189, 129.097, 8.333, 19.300 False
195.773, 129.099, 8.333, 19.350 False
195.356, 129.102, 8.333, 19.400 False
194.939, 129.105, 8.333, 19.450 False
194.523, 129.108, 8.333, 19.500 False
194.106, 129.110, 8.333, 19.550 False
193.689, 129.114, 8.333, 19.600 False
193.273, 129.117, 8.333, 19.650 False
192.856, 129.120, 8.333, 19.700 False
192.439, 129.123, 8.333, 19.750 False
192.023, 129.127, 8.333, 19.800 False
191.606, 129.130, 8.333, 19.850 False
191.189, 129.135, 8.333, 19.900 False
190.773, 129.139, 8.333, 19.950 False
190.356, 129.143, 8.333, 20.000 False
189.940, 129.148, 8.333, 20.050 False
189.523, 129.153, 8.333, 20.100 False
189.106, 129.158, 8.333, 20.150 False
188.690, 129.163, 8.333, 20.200 False
188.273, 129.168, 8.333, 20.250 False
187.857, 129.173, 8.333, 20.300 False
187.440, 129.178, 8.333, 20.350 False
187.023, 129.183, 8.333, 20.400 False
186.607, 129.188, 8.333, 20.450 False
186.190, 129.194, 8.333, 20.500 False
185.774, 129.199, 8.333, 20.550 False
185.357, 129.204, 8.333, 20.600 False
184.940, 129.210, 8.333, 20.650 False
184.524, 129.215, 8.333, 20.700 False
184.107, 129.220, 8.333, 20.750 False
183.691, 129.226, 8.333, 20.800 False
183.274, 129.231, 8.333, 20.850 False
182.857, 129.237, 8.333, 20.900 False
182.441, 129.242, 8.333, 20.950 False
182.024, 129.248, 8.333, 21.000 False
181.608, 129.253, 8.333, 21.050 False
181.191, 129.259, 8.333, 21.100 False
180.774, 129.265, 8.333, 21.150 False
180.358, 129.270, 8.333, 21.200 False
179.941, 129.276, 8.333, 21.250 False
179.525, 129.281, 8.333, 21.300 False
179.108, 129.287, 8.333, 21.350 False
178.691, 129.293, 8.333, 21.400 False
178.275, 129.298, 8.333, 21.450 False
177.858, 129.304, 8.333, 21.500 False
177.442, 129.309, 8.333, 21.550 False
177.025, 129.315, 8.333, 21.600 False
176.608, 129.320, 8.333, 21.650 False
176.192, 129.326, 8.333, 21.700 False
175.775, 129.331, 8.333, 21.750 False
175.359, 129.337, 8.333, 21.800 False
174.942, 129.343, 8.333, 21.850 False
174.525, 129.348, 8.333, 21.900 False
174.109, 129.353, 8.333, 21.950 False
173.692, 129.359, 8.333, 22.000 False
173.276, 129.364, 8.333, 22.050 False
172.859, 129.370, 8.333, 22.100 False
172.442, 129.375, 8.333, 22.150 False
172.026, 129.380, 8.333, 22.200 False
171.609, 129.386, 8.333, 22.250 False
171.193, 129.391, 8.333, 22.300 False
170.776, 129.396, 8.333, 22.350 False
170.359, 129.401, 8.333, 22.400 False
169.943, 129.406, 8.333, 22.450 False
169.526, 129.411, 8.333, 22.500 False
169.110, 129.416, 8.333, 22.550 False
168.693, 129.421, 8.333, 22.600 False
168.276, 129.426, 8.333, 22.650 False
167.860, 129.431, 8.333, 22.700 False
167.443, 129.436, 8.333, 22.750 False
167.027, 129.441, 8.333, 22.800 False
166.610, 129.446, 8.333, 22.850 False
166.193, 129.450, 8.333, 22.900 False
165.777, 129.455, 8.333, 22.950 False
165.360, 129.460, 8.333, 23.000 False
164.944, 129.464, 8.333, 23.050 False
